"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"1101488"	31.2010194720278	-1.82337494460317	0.512534699196033	-3.55756390243106	0.000374310060835652	0.00552283635331942	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA	NA
"239225"	36.5126549407504	1.43764300726428	0.435608807361417	3.30030748453507	0.000965789495432622	0.0106618803572353	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"1107426"	3.4527667702742	1.36851031446875	0.465445477141766	2.9402161621004	0.00327983345813212	0.023901995923368	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"567703"	87.1365366218165	1.51340517678985	0.501279902695631	3.01908209096659	0.00253541820958609	0.0197713862305223	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	NA	NA
"1145241"	357.40592591821	1.86769122389155	0.443189388684813	4.21420564565866	2.50658821889434e-05	0.0008053613896566	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	NA	NA
"532994"	280.543975145712	-2.46400601614761	0.429426293178837	-5.73790206907862	9.58565130950950e-09	3.8869816060061e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"935060"	2.38716431575183	-1.43002020098228	0.539969555110643	-2.64833486897101	0.00808893561475224	0.0465257218692487	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"818315"	12.602876714142	-1.69654651296172	0.55957668978938	-3.0318391454088	0.00243068694912171	0.0191387098615311	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	NA	NA
"1765229"	3.80934938617637	-1.34912744577339	0.507318228251898	-2.65933169880802	0.00782958370623437	0.0456819596097559	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"593209"	44.1929259509883	-1.8579229471948	0.455562590054725	-4.07830446958258	4.53653322309146e-05	0.00114972763872724	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Mesonia"	NA	NA
"632596"	3.40039604915508	1.81934617570896	0.563452616600587	3.22892488579681	0.00124256526666256	0.0124409929785597	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
